,sort,feature,sex,Q,A,cost
1,eye,long,,Left eye width: longer,현대 기술로는 당신의 그 크고 웅장한 눈을 작게 만들 수 없습니다.. 다시 태어나세요 ㅋ,0
2,eye,short,,Eye width: shorter,"수술명: 뒤트임
수술 내용: 눈의 가로 길이를 확장하여 시원하고 또렷한 눈매로 개선할 수 있는 수술
부작용: 부자연스러운 눈꼬리, 디귿자 유착, 눈꼬리 변형, 흉터, 점막 노출, 결막노출과 안구건조, 통증, 충혈, 눈이 감기지 않는 토안증 등","463,078"
3,eye,long,,Right eye width: longer,당신의 눈 가로 길이가 너무 커 성형외과 의사들이 감당할 수 없습니다. 당신의 시야는 혹시 270도입니까?,0
4,eye,long,,Left eye height: longer,당신의 사백안은 현대 기술로 해결할 방법이 없습니다. 밤에 혼자 다니지 마십시오. 무섭습니다.,0
5,eye,short,,Eye height: shorter,"수술명: 밑트임
수술 내용: 결막을 통해 눈꼬리 각도를 조절하여 부드러운 인상으로 개선할 수 있으며, 눈의 세로 폭을 확장할 수 있는 수술
부작용: 아래 눈꺼풀, 즉 하안검 모양의 비대칭, 찝힘 현상, 표정을 지을 때 눈매가 어색해보이는 경우, 눈꺼풀이 안쪽으로 말려들어가 속눈썹이 각막을 찌르는 상태 등","417,153"
6,eye,long,,Right eye height: longer,눈 세로 길이를 축소할 수 있는 방법은 없습니다. 대신 실눈을 뜨고 다니면 어느 정도 해결할 수 있습니다. 화이팅,0
7,,long,,Glabella: longer,"수술명: 앞트임
수술 내용: 몽고주름으로 인해 눈 앞이 답답해 보이거나 눈과 눈 사이가 먼 경우 눈 앞을 틔어주어 시원한 눈매로 개선해 주는 수술
부작용: 흉터, 안구건조증 등","422,406"
8,,short,woman,Glabella: shorter,미간을 늘릴 방법이 없습니다. 화장을 좀 잘 해보세요 얼른!,0
9,,short,man,Glabella: shorter,미간을 늘릴 방법이 없습니다. 연예인 신동엽씨를 보고 자신감을 가지세요!,0
10,nose,long,,Nose width: longer,"수술명: 콧볼축소수술
수술 내용: 콧볼 안쪽 살을 절개하여 균형감 있는 코 모양을 만들어주는 수술
부작용: 코 모양 변형, 콧구멍 축소 등","1,118,600"
11,nose,short,,Nose width: shorter,"당신은 축복받은 얇은 코입니다.하지만 늘리고 싶으시다면, 아침 저녁으로 코를 5번 씩 파주시고, 코 벌렁이기 운동을 하루 10회씩 10번 진행해주세요.(코파기를 한쪽만 하면 비대칭을 유발할 수 있으므로 양쪽 동일하게 해주셔야 합니다!)",0
12,,long,,Philtrum: longer,"수술명: 인중축소수술
수술 내용: 인중의 길이를 축소하여 동안으로 만들어 주는 수술
부작용: 흉터, 코 모양 변형 등","2,456,667"
13,,short,,Philtrum: shorter,"수술명: 인중확대수술
수술 내용: 인중의 길이를 확대하여 웃을 때 잇몸이 너무 많이 보이는 잇몸 노출증이 있는 사람들에게 적합한 수술
부작용: 염증, 출혈, 재발, 이물반응, 감각이상 등","2,200,000"
14,lip,long,,Lip width: longer,"수술명: 입술축소수술
수술 내용: 입술 경계선을 절개하고 봉합하여 입술을 입 안으로 말려들어가게 하는 수술
부작용: 염증, 출혈, 입술 비대칭 등","1,100,000"
15,lip,short,,Lip width: shorter,"수술명: 입술가로길이확장수술
수술 내용: 절제량 및 거상 각도 등을 적절히 조절한 입꼬리 수술을 통해 입술의 가로 길이를 늘리는 수술
부작용: 입술이 닭똥집이 될 수 있음","122,471"
16,lip,long,,Lip thickness: longer,"수술명: 입술축소수술
수술 내용: 입술 경계선을 절개하고 봉합하여 입술을 입 안으로 말려들어가게 하는 수술
부작용: 염증, 출혈, 입술 비대칭 등","600,000"
17,lip,short,,lip thickness: shorter,"수술명: 입술지방이식
수술 내용: 자가지방 채취 후 입술에 순수 지방을 주입하는 수술. 자연스러운 입술 가능.
부작용: 지방 괴사, 염증 등","1,200,000"
18,lip,short,,lip thickness: shorter,"수술명: 입술필러
수술 내용: 입술 전용 필러 중 적합한 필러 주입. 화려한 입술 가능.
부작용: 입술 모양 변형, 멍, 알레르기 등","63,960"
19,chin,long,,Chin length: longer,"수술명: 턱끝 수술(앞턱 수술)
수술 내용: 턱뼈 아랫부분을 자르고 필요하다면 다듬어서 원하는 곳에 붙이고 고정시키는 수술. 대체로 무턱이거나 긴턱일 경우에 수술 효과가 크게 나타남. 안면윤곽술 중에도 난이도가 낮고 회복기간도 빠름
부작용: 이중턱, 턱 불균형 등","6,000,000"
20,chin,short,,Chin length: shorter,"수술명: 보형물 삽입술
수술 내용: 보형물을 턱 끝에 삽입하는 수술로, 무턱 증상이 심하지 않을 경우에 적합.
부작용: 세균 감염으로 인한 염증, 삽입한 부분이 딱딱해지는 구축 등","1,650,000"
21,chin,,,Chin length: Absent,"수술명: 턱끝길이연장수술
수술 내용: 턱뼈를 자르고 이어붙여 턱 길이를 늘리는 수술
부작용: 이중턱, 턱 불균형 등","7,500,000"
22,cheek,,,Cheekbones are sticking out,"수술명: 광대 축소술
수술 내용: 광대뼈를 잘라내서 얼굴 안쪽으로 넣어서 붙인 뒤 고정하는 수술. 기본적으로 의사의 실력이 결과에 많이 영향을 줌
부작용: 볼처짐(소위 불독처럼 처짐),","2,800,000"
23,cheek,,,Cheekbones: No problem,당신은 예쁜 광대를 가졌습니다. 볼이랑 구분이 안 갈 정도로 매끈하군요. 부러워요!,0
24,wrinkle,present,,Periorbital wrinkle: Present,"수술명: 필러
수술 내용: 주름에 필러를 채워 넣어 볼륨감을 살려주는 시술로, `귀족성형`이라고도 불림. 
부작용: 필러가 이동해서 눈가가 빵빵해지는 현상, 눈가 처짐 등","90,000"
25,wrinkle,present,,Periorbital wrinkle: Present,"수술명: 실리프팅
수술 내용: 피부 아래층에 실을 삽입하여 처진 피부를 당겨서 올려주어 눈가 주름을 개선해주는 시술로, 필러나 지방 이식처럼 퍼져보이는 등의 부작용이 없음. 스프링 형태의 녹는 실을 사용하는 캐번리프팅, 가시가 달린 실을 사용하는 민트실 등 실의 종류는 다양함.
부작용: 주름이 오히려 패여보이는 딤플(dimple) 현상, 눈가의 감각이상, 유착","72,842"
26,wrinkle,present,,Periorbital wrinkle: Present,"수술명: 울쎄라
수술 내용: 고강도의 초음파를 통해 열을 발생시켜 피부 탄력을 개선해주는 리프팅 시술. 처짐이나 주름을 일으키는 피부 근막층까지 침투하여 콜라겐 생성을 유도하여 근본 원인을 개선할 수 있음. 장기적인 콜라겐 재생으로 인해 치료 후 몇 달에 걸쳐 점진적으로 효과가 나타나며, 시술 치고는 비용이 꽤 높음.
부작용: 피부 패임 현상, 홍반 및 경미한 부종, 일시적인 신경 손상 등","1,070,600"
27,wrinkle,present,,Periorbital wrinkle: Present,"수술명: 슈링크
수술 내용: 고강도의 초음파를 통해 열을 발생시켜 피부 탄력을 개선해주는 리프팅 시술. 울쎄라와 동일한 기술을 사용하나, 피부의 특정 층(진피층)에 초점을 맞추어 보다 집중적인 치료가 가능하며, 울쎄라에 비해 훨씬 저렴한 가격으로 빠른 효과를 볼 수 있음.
부작용: 피부 패임 현상, 홍반 및 경미한 부종, 일시적인 신경 손상 등","68,172"
28,wrinkle,present,,Periorbital wrinkle: Present,"수술명: 지방 이식
수술 내용: 허벅지, 복부 등의 부위에서 지방을 채취해서 눈가 주름에 이식을 해주는 시술로, 자가 지방 이식이기 때문에 반영구적으로 유지되고, 장기적으로도 안전하다는 것이 큰 장점
부작용: 이식한 지방이 이동해서 눈가가 빵빵해지는 현상","1,100,000"
29,wrinkle,absent,,Periorbital wrinkle: Absent,"당신은 눈가 주름이 없네요. 평소에 웃지 않거나, 2살이거나 둘 중 하나라고 생각하겠습니다.",0
30,line,present,,Smile line: Present,"수술명: 필러
수술 내용: 주름에 필러를 채워 넣어 볼륨감을 살려주는 시술로, `귀족성형`이라고도 불림. 
부작용: 필러가 이동해서 앞볼이 빵빵해지는 현상, 볼 처짐 등","90,000"
31,line,present,,Smile line: Present,"수술명: 실리프팅
수술 내용: 피부 아래층에 실을 삽입하여 처진 피부를 당겨서 올려주어 팔자 주름을 개선해주는 시술로, 필러나 지방 이식처럼 퍼져보이는 등의 부작용이 없음. 스프링 형태의 녹는 실을 사용하는 캐번리프팅, 가시가 달린 실을 사용하는 민트실 등 실의 종류는 다양함.
부작용: 주름이 오히려 패여보이는 딤플(dimple) 현상, 팔자주름 부위의 감각이상, 유착","72,842"
32,line,present,,Smile line: Present,"수술명: 울쎄라
수술 내용: 고강도의 초음파를 통해 열을 발생시켜 피부 탄력을 개선해주는 리프팅 시술. 처짐이나 주름을 일으키는 피부 근막층까지 침투하여 콜라겐 생성을 유도하여 근본 원인을 개선할 수 있음. 장기적인 콜라겐 재생으로 인해 치료 후 몇 달에 걸쳐 점진적으로 효과가 나타나며, 시술 치고는 비용이 꽤 높음.
부작용: 볼 패임 현상, 홍반 및 경미한 부종, 일시적인 신경 손상 등","1,070,600"
33,line,present,,Smile line: Present,"수술명: 슈링크
수술 내용: 고강도의 초음파를 통해 열을 발생시켜 피부 탄력을 개선해주는 리프팅 시술. 울쎄라와 동일한 기술을 사용하나, 피부의 특정 층(진피층)에 초점을 맞추어 보다 집중적인 치료가 가능하며, 울쎄라에 비해 훨씬 저렴한 가격으로 빠른 효과를 볼 수 있음.
부작용: 볼 패임 현상, 홍반 및 경미한 부종, 일시적인 신경 손상 등","272,688"
34,line,present,,Smile line: Present,"수술명: 지방 이식
수술 내용: 허벅지, 복부 등의 부위에서 지방을 채취해서 팔자 주름에 이식을 해주는 시술로, 자가 지방 이식이기 때문에 반영구적으로 유지되고, 장기적으로도 안전하다는 것이 큰 장점
부작용: 이식한 지방이 이동해서 앞볼이 빵빵해지는 현상","1,100,000"
35,line,absent,,Smile line: Absent,입가 주름이 없습니다. 좀 웃고 다니세요. 웃음은 만병통치약입니다. 웃으면 얼굴도 더 예뻐질지도..?,0
36,line,,,Jawline: Square,"수술명: 사각턱 수술
수술 내용: 크게 뼈가 아닌 근육 및 신경만 건드리고 고주파 및 중주파를 이용하여 절개하지 않는 교근 축소 수술과, 귀 뒤 피부를 절개하거나 흉을 남기지 않기 위해 입안쪽을 절개하여 사각턱의 끝 부분을 다듬거나 잘라내는 사각턱 수술로 나뉨. 안면 윤곽술 중에서는 상대적으로 간단하고 부작용이 덜한 수술.
부작용: 귀밑각을 너무 깎아 귀에서 턱까지 일자로 뻗어버리는 소위 개턱, 턱선 중간에 각이 하나 더 생기는 이차각, 안면 신경 마비 등","5,000,000"
37,line,,,Jawline: Square,"수술명: 양악 수술
수술 내용: 위턱인 상악과 아래턱인 하악을 함께 잘라내는 수술. 즉 코 밑부터 아래턱 뼈 부분을 잘라내서 턱을 재위치시키는 수술. 현존하는 의학 수술 중에 가장 외모 개선 효과가 큼. 원래 양악수술이란 치료하기 위한 목적
부작용: 웃을 때 코가 양옆으로 지나치게 퍼지는 코퍼짐, 들창코, 인중 돌출, 코골이, 수면무호흡, 안면 신경 마비 등","11,140,000"
38,line,,,Jawline: Sharper,"이미 완벽한데 어떤 수술이 더 필요할까요. 당신의 턱선은 흉기, 너무 날카로워 베이겠어요.",0
39,eye,present,,Double eyelid: Present,"수술명: 쌍꺼풀 제거 수술
수술 내용: 외꺼풀인 피부에 일정한 높이의 라인을 잡아 안쪽의 눈꺼풀올림근과 유착시켜주는 수술
부작용: 소시지 눈, 짝눈 등","1,375,000"
40,eye,absent,,Double eyelid: Absent,"수술명: 쌍꺼풀 수술
수술 내용: 눈 윗부분의 쌍꺼풀 라인인 외꺼풀을 찝어내어 인공적인 쌍꺼풀을 만드는 수술. 수술 방법에는 대표적으로 완전절개법, 부분절개법, 매몰법 등이 있고, 매몰법은 30분, 절개법은 1시간 이내에 대부분 수술이 끝남.
부작용: 가려져있던 안구가 드러나 발생하는 안구건조증, 속눈썹이 위로 젖혀지는 경우(안검외반증), 눈을 완전히 못 감는 경우, 과도하게 조직을 제거하여 발생하는 안검하수 등. 눈의 가로 길이가 짧아 꼬막눈인데 거기다가 쌍꺼풀을 만들면 예쁘기는 커녕 더 답답하고 이상해 보일 수가 있음. 붓기가 빠지지 않고 자리를 잘 못 잡아서 오히려 더 못생겨지는 경우도 있음.","397,403"
41,eye,,,Double eyelid: No problem,당신이 닮고 싶은 얼굴과 비슷한 눈을 가졌네요. 쌍꺼풀 수술이 따로 필요 없겠어요. 나머지 부분에 돈을 더 투자해봅시다!,0
